,triple,label,masked_triple
19211,Richard Roxburgh  voice actor Anthony LaPaglia,actor,Richard Roxburgh  voice [MASK] Anthony LaPaglia
19212,Anthony LaPaglia  voice actor Geoffrey Rush,actor,Anthony LaPaglia  voice [MASK] Geoffrey Rush
19213,Geoffrey Rush  voice actor Joel Edgerton,actor,Geoffrey Rush  voice [MASK] Joel Edgerton
19214,Joel Edgerton  voice actor Emily Barclay,actor,Joel Edgerton  voice [MASK] Emily Barclay
19215,Mustafa Kamal father Sheikh Abdullah,father,Mustafa Kamal [MASK] Sheikh Abdullah
19216,Helios  mother Theia,mother,Helios  [MASK] Theia
19217,Subbu Panchu father Panchu Arunachalam,father,Subbu Panchu [MASK] Panchu Arunachalam
19219,"Cerdanya noble title Count, father Wilfred the Hairy",father,"Cerdanya noble title Count, [MASK] Wilfred the Hairy"
19220,Richard Pitino father Rick Pitino,father,Richard Pitino [MASK] Rick Pitino
19221,Antonio Banderas  voice actor Antonio Banderas,actor,Antonio Banderas  voice [MASK] Antonio Banderas
19222,"Mar noble title Princess, mother Princess Patricia",mother,"Mar noble title Princess, [MASK] Princess Patricia"
19223,FazÄ±l Mustafa Pasha father KÃ¶prÃ¼lÃ¼ Mehmed Pasha,father,FazÄ±l Mustafa Pasha [MASK] KÃ¶prÃ¼lÃ¼ Mehmed Pasha
19224,Aleksandr Aleksandrovich Bibikov father Aleksandr Bibikov,father,Aleksandr Aleksandrovich Bibikov [MASK] Aleksandr Bibikov
19225,Matthew Lillard  voice actor Neil Fanning,actor,Matthew Lillard  voice [MASK] Neil Fanning
19226,Lycurgus of Thrace father Dryas,father,Lycurgus of Thrace [MASK] Dryas
19227,Wim Rietveld father Gerrit Rietveld,father,Wim Rietveld [MASK] Gerrit Rietveld
19228,Francis R. Pryor father Robert Pryor,father,Francis R. Pryor [MASK] Robert Pryor
19229,Alf Collett father Peter Jonas Collett,father,Alf Collett [MASK] Peter Jonas Collett
19230,Peter Jonas Collett  mother Camilla Collett,mother,Peter Jonas Collett  [MASK] Camilla Collett
19232,Zhuge Rong father Zhuge Jin,father,Zhuge Rong [MASK] Zhuge Jin
19234,Veve Zulfikar father Zulfikar Mohammad Basyaiban,father,Veve Zulfikar [MASK] Zulfikar Mohammad Basyaiban
19236,Zhao father Marquess Su,father,Zhao [MASK] Marquess Su
19237,John Synadenos ( megas konostaulos ) mother Theodora Palaiologina Synadene,mother,John Synadenos ( megas konostaulos ) [MASK] Theodora Palaiologina Synadene
19238,"Sayaka Kanda occupation Actor, occupation singer, father Masaki Kanda",father,"Sayaka Kanda occupation Actor, occupation singer, [MASK] Masaki Kanda"
19239,Masaki Kanda  mother Seiko Matsuda,mother,Masaki Kanda  [MASK] Seiko Matsuda
19240,"Aghabeyim agha Javanshir occupation Poet, father Ibrahim Khalil Khan",father,"Aghabeyim agha Javanshir occupation Poet, [MASK] Ibrahim Khalil Khan"
19241,Edward the Black Prince father Edward III,father,Edward the Black Prince [MASK] Edward III
19242,Martin Adolf Bormann father Martin Bormann,father,Martin Adolf Bormann [MASK] Martin Bormann
19243,Kelly Asbury  voice actor Ariel Winter,actor,Kelly Asbury  voice [MASK] Ariel Winter
19244,Ariel Winter  voice actor Joe Manganiello,actor,Ariel Winter  voice [MASK] Joe Manganiello
19245,Joe Manganiello  voice actor Ellie Kemper,actor,Joe Manganiello  voice [MASK] Ellie Kemper
19246,Ellie Kemper  voice actor Meghan Trainor,actor,Ellie Kemper  voice [MASK] Meghan Trainor
19247,Meghan Trainor  voice actor Mandy Patinkin,actor,Meghan Trainor  voice [MASK] Mandy Patinkin
19248,Mandy Patinkin  voice actor Jack McBrayer,actor,Mandy Patinkin  voice [MASK] Jack McBrayer
19249,Jack McBrayer  voice actor Julia Roberts,actor,Jack McBrayer  voice [MASK] Julia Roberts
19250,Julia Roberts  voice actor Michelle Rodriguez,actor,Julia Roberts  voice [MASK] Michelle Rodriguez
19251,Michelle Rodriguez  voice actor Rainn Wilson,actor,Michelle Rodriguez  voice [MASK] Rainn Wilson
19252,Rainn Wilson  voice actor Demi Lovato,actor,Rainn Wilson  voice [MASK] Demi Lovato
19253,"Johann Rupert occupation entrepreneur, father Anton Rupert",father,"Johann Rupert occupation entrepreneur, [MASK] Anton Rupert"
19254,Rahmat Banu Begum father Sutamla,father,Rahmat Banu Begum [MASK] Sutamla
19255,"Helena Unierzyska occupation sculptor, occupation painter, father Jan Matejko",father,"Helena Unierzyska occupation sculptor, occupation painter, [MASK] Jan Matejko"
19256,Abaqa Khan father Hulagu Khan,father,Abaqa Khan [MASK] Hulagu Khan
19259,Hyas mother Aethra,mother,Hyas [MASK] Aethra
19260,Po Saut father Po Rome,father,Po Saut [MASK] Po Rome
19261,"Marisol Ayuso occupation Actor, father Pedro Pablo Ayuso",father,"Marisol Ayuso occupation Actor, [MASK] Pedro Pablo Ayuso"
19262,Shaun Taylor-Corbett mother Lynne Taylor-Corbett,mother,Shaun Taylor-Corbett [MASK] Lynne Taylor-Corbett
19263,"Kathir Anand occupation Politician, father Durai Murugan",father,"Kathir Anand occupation Politician, [MASK] Durai Murugan"
19264,Ashot the Beautiful father Adarnase II,father,Ashot the Beautiful [MASK] Adarnase II
19265,Harpina father Asopus,father,Harpina [MASK] Asopus
19266,"Nandamuri Kalyan Ram occupation Actor, father Nandamuri Harikrishna",father,"Nandamuri Kalyan Ram occupation Actor, [MASK] Nandamuri Harikrishna"
19267,Ratna Malla father Jayayakshya Malla,father,Ratna Malla [MASK] Jayayakshya Malla
19268,Jerningham Wakefield father Edward Gibbon Wakefield,father,Jerningham Wakefield [MASK] Edward Gibbon Wakefield
19270,"Henry Marc Brunel occupation Engineer, father Isambard Kingdom Brunel",father,"Henry Marc Brunel occupation Engineer, [MASK] Isambard Kingdom Brunel"
19271,Ahmad Jalayir father Shaikh Awais Jalayir,father,Ahmad Jalayir [MASK] Shaikh Awais Jalayir
19272,Phidias father Charmides,father,Phidias [MASK] Charmides
19273,Liu Zhiji father Liu Zangqi,father,Liu Zhiji [MASK] Liu Zangqi
19274,Gagananga Yukala father Mongkut,father,Gagananga Yukala [MASK] Mongkut
19275,David Profumo father John Profumo,father,David Profumo [MASK] John Profumo
19276,"Johan Schildt occupation Actor, occupation television actor, father Henrik Schildt",father,"Johan Schildt occupation Actor, occupation television actor, [MASK] Henrik Schildt"
19277,"Anita Raj occupation television actor, father Jagdish Raj",father,"Anita Raj occupation television actor, [MASK] Jagdish Raj"
19278,Kenji Fujimori father Alberto Fujimori,father,Kenji Fujimori [MASK] Alberto Fujimori
19279,Higuchi  mother Susana Higuchi,mother,Higuchi  [MASK] Susana Higuchi
19280,Gnaeus Pompeius Magnus ( husband of Claudia Antonia,husband,Gnaeus Pompeius Magnus ( [MASK] of Claudia Antonia
19281,Claudia Antonia ) father Marcus Licinius,father,Claudia Antonia ) [MASK] Marcus Licinius
19282,David Faustino  voice actor Zelda Williams,actor,David Faustino  voice [MASK] Zelda Williams
19283,Zelda Williams  voice actor Mindy Sterling,actor,Zelda Williams  voice [MASK] Mindy Sterling
19284,Mindy Sterling  voice actor Steve Blum,actor,Mindy Sterling  voice [MASK] Steve Blum
19285,Steve Blum  voice actor Seychelle Gabriel,actor,Steve Blum  voice [MASK] Seychelle Gabriel
19286,Seychelle Gabriel  voice actor Janet Varney,actor,Seychelle Gabriel  voice [MASK] Janet Varney
19287,Janet Varney  voice actor Henry Rollins,actor,Janet Varney  voice [MASK] Henry Rollins
19288,Henry Rollins  voice actor John Michael Higgins,actor,Henry Rollins  voice [MASK] John Michael Higgins
19289,"Hanzade Sultan noble title Princess, father Ahmed I",father,"Hanzade Sultan noble title Princess, [MASK] Ahmed I"
19290,Arlo Guthrie father Woody Guthrie,father,Arlo Guthrie [MASK] Woody Guthrie
19291,"Willeke Alberti occupation singer, occupation television actor, father Willy Alberti",father,"Willeke Alberti occupation singer, occupation television actor, [MASK] Willy Alberti"
19292,"Pratibha Sinha occupation Actor, mother Mala Sinha",mother,"Pratibha Sinha occupation Actor, [MASK] Mala Sinha"
19293,"Claude Monteux occupation conductor, father Pierre Monteux",father,"Claude Monteux occupation conductor, [MASK] Pierre Monteux"
19294,James Denton ( priest ) position held Archdeacon,priest,James Denton ( [MASK] ) position held Archdeacon
19295,Geng Jingzhong father Geng Jimao,father,Geng Jingzhong [MASK] Geng Jimao
19296,Princess Minushi father Emperor Tenji,father,Princess Minushi [MASK] Emperor Tenji
19297,"Charles I. Barber occupation Architect, father George Franklin Barber",father,"Charles I. Barber occupation Architect, [MASK] George Franklin Barber"
19298,"Cosima von BÃ¼low Pavoncelli occupation Socialite, father Claus von BÃ¼low",father,"Cosima von BÃ¼low Pavoncelli occupation Socialite, [MASK] Claus von BÃ¼low"
19299,Claus von BÃ¼low  mother Sunny von BÃ¼low,mother,Claus von BÃ¼low  [MASK] Sunny von BÃ¼low
19300,Hedwig von Trapp father Georg von Trapp,father,Hedwig von Trapp [MASK] Georg von Trapp
19302,Dardenne brothers Magritte Award,brothers,Dardenne [MASK] Magritte Award
19304,Durvinita father Avinita,father,Durvinita [MASK] Avinita
19305,Theon Greyjoy father Balon Greyjoy,father,Theon Greyjoy [MASK] Balon Greyjoy
19306,Jai Singh II father Bishan Singh,father,Jai Singh II [MASK] Bishan Singh
19307,Bartolomeo d'Aragona father Vinciguerra d'Aragona,father,Bartolomeo d'Aragona [MASK] Vinciguerra d'Aragona
19308,Thaddeus P. Mott father Valentine Mott,father,Thaddeus P. Mott [MASK] Valentine Mott
19309,David Edwards ( priest ) position held Dean,priest,David Edwards ( [MASK] ) position held Dean
19310,"Jordan Scott occupation director, father Ridley Scott",father,"Jordan Scott occupation director, [MASK] Ridley Scott"
19311,Ridley Scott  mother Sandy Watson,mother,Ridley Scott  [MASK] Sandy Watson
19312,Krishna  mother Rukmini,mother,Krishna  [MASK] Rukmini
19314,Lee Seng Tee father Lee Kong Chian,father,Lee Seng Tee [MASK] Lee Kong Chian
19315,Murad IV father Ahmed I,father,Murad IV [MASK] Ahmed I
19316,Ahmed I  mother KÃ¶sem Sultan,mother,Ahmed I  [MASK] KÃ¶sem Sultan
19317,"John Bettes the Younger occupation painter, father John Bettes the Elder",father,"John Bettes the Younger occupation painter, [MASK] John Bettes the Elder"
19318,Kristian Lous father Karl Lous,father,Kristian Lous [MASK] Karl Lous
19319,KanÅ Mitsunobu father KanÅ Eitoku,father,KanÅ Mitsunobu [MASK] KanÅ Eitoku
19320,Abraham O. Woodruff father Wilford Woodruff,father,Abraham O. Woodruff [MASK] Wilford Woodruff
19321,John Dutton ( politician ) father William Dutton,father,John Dutton ( politician ) [MASK] William Dutton
19322,Henry Cavendish ( politician ) mother Bess,mother,Henry Cavendish ( politician ) [MASK] Bess
19323,MÅri Tokichika father MÅri Tsunemitsu,father,MÅri Tokichika [MASK] MÅri Tsunemitsu
19324,Zoe  mother Zoe Karbonopsina,mother,Zoe  [MASK] Zoe Karbonopsina
19325,Serug father Reu,father,Serug [MASK] Reu
19326,Madoc father Owain Gwynedd,father,Madoc [MASK] Owain Gwynedd
19327,"Karl Staaff occupation Lawyer, occupation Politician, father Albert Staaff",father,"Karl Staaff occupation Lawyer, occupation Politician, [MASK] Albert Staaff"
19328,Liu Ruyi mother Consort Qi,mother,Liu Ruyi [MASK] Consort Qi
19329,Consort Qi  mother Consort Qi,mother,Consort Qi  [MASK] Consort Qi
19330,"Helene Thimig occupation Actor, father Hugo Thimig",father,"Helene Thimig occupation Actor, [MASK] Hugo Thimig"
19331,Daniel Marsh father Rod Marsh,father,Daniel Marsh [MASK] Rod Marsh
19332,"Ferenc MarkÃ³ occupation painter, father KÃ¡roly MarkÃ³",father,"Ferenc MarkÃ³ occupation painter, [MASK] KÃ¡roly MarkÃ³"
19333,Samvel Karapetyan ( businessman ) place of birth Tashir,businessman,Samvel Karapetyan ( [MASK] ) place of birth Tashir
19334,Konstanz  father Ulrich Wille,father,Konstanz  [MASK] Ulrich Wille
19335,"Macduff 's son sex or gender male, present in work Macbeth",son,"Macduff 's [MASK] sex or gender male, present in work Macbeth"
19336,Igwe Kenneth Onyeneke Orizu III father Igwe Josiah,father,Igwe Kenneth Onyeneke Orizu III [MASK] Igwe Josiah
19337,Simon Barrington-Ward father Robert Barrington-Ward,father,Simon Barrington-Ward [MASK] Robert Barrington-Ward
19338,Helena  daughter of Alypius,daughter,Helena  [MASK] of Alypius
19339,Lex de Azevedo  voice actor Jack Palance,actor,Lex de Azevedo  voice [MASK] Jack Palance
19340,Jack Palance  voice actor Sandy Duncan,actor,Jack Palance  voice [MASK] Sandy Duncan
19341,Sandy Duncan  voice actor Michelle Nicastro,actor,Sandy Duncan  voice [MASK] Michelle Nicastro
19342,Michelle Nicastro  voice actor John Cleese,actor,Michelle Nicastro  voice [MASK] John Cleese
19343,John Cleese  voice actor Howard McGillin,actor,John Cleese  voice [MASK] Howard McGillin
19344,Howard McGillin  voice actor Steve Vinovich,actor,Howard McGillin  voice [MASK] Steve Vinovich
19345,Steve Vinovich  voice actor Steven Wright,actor,Steve Vinovich  voice [MASK] Steven Wright
19346,"Anand Babu occupation Actor, father Nagesh",father,"Anand Babu occupation Actor, [MASK] Nagesh"
19347,Caranus ( son of Philip II ),son,Caranus ( [MASK] of Philip II )
19348,Bruce Gotz father Martin Gotz,father,Bruce Gotz [MASK] Martin Gotz
19349,Godefroid Kamatari father Ignace Kamatari,father,Godefroid Kamatari [MASK] Ignace Kamatari
19350,Gerhard Selmayr father Josef Selmayr,father,Gerhard Selmayr [MASK] Josef Selmayr
19351,"Jorge Manuel TheotocÃ³puli occupation painter, father El Greco",father,"Jorge Manuel TheotocÃ³puli occupation painter, [MASK] El Greco"
19352,Ida of Lorraine mother Doda,mother,Ida of Lorraine [MASK] Doda
19353,Ujir Singh Thapa father Nain Singh Thapa,father,Ujir Singh Thapa [MASK] Nain Singh Thapa
19354,Ben Taylor ( musician ) mother Carly Simon,mother,Ben Taylor ( musician ) [MASK] Carly Simon
19355,Proetus ( son of Abas,son,Proetus ( [MASK] of Abas
19356,Abas ) position held king of Argos,king,Abas ) position held [MASK] of Argos
19357,Yvonne Picard father Charles Picard,father,Yvonne Picard [MASK] Charles Picard
19358,"Myer  sex or gender female, mother Merlyn Myer",mother,"Myer  sex or gender female, [MASK] Merlyn Myer"
19359,Jean Gimpel father RenÃ© Gimpel,father,Jean Gimpel [MASK] RenÃ© Gimpel
19360,Gijsbert d'Hondecoeter father Gillis d'Hondecoeter,father,Gijsbert d'Hondecoeter [MASK] Gillis d'Hondecoeter
19361,Henry Sargant Storer father James Sargant Storer,father,Henry Sargant Storer [MASK] James Sargant Storer
19362,Derek McKeith mother Sheila Frazier,mother,Derek McKeith [MASK] Sheila Frazier
19363,Beatrice Portinari father Folco Portinari,father,Beatrice Portinari [MASK] Folco Portinari
19364,Baldwin I RÃ¡tÃ³t father Rathold RÃ¡tÃ³t,father,Baldwin I RÃ¡tÃ³t [MASK] Rathold RÃ¡tÃ³t
19365,Sargis II Jaqeli father Beka I Jaqeli,father,Sargis II Jaqeli [MASK] Beka I Jaqeli
19366,King  mother Queen Best Kemigisa,mother,King  [MASK] Queen Best Kemigisa
19367,Sibyl father Zeus,father,Sibyl [MASK] Zeus
19368,Muhammadu Sanusi I father Abdullahi Bayero,father,Muhammadu Sanusi I [MASK] Abdullahi Bayero
19369,Basel  father Johann Bernoulli,father,Basel  [MASK] Johann Bernoulli
19370,Yasmin Belo-Osagie father Hakeem Belo-Osagie,father,Yasmin Belo-Osagie [MASK] Hakeem Belo-Osagie
19371,Hakeem Belo-Osagie  mother Myma Belo-Osagie,mother,Hakeem Belo-Osagie  [MASK] Myma Belo-Osagie
19372,Fernando GonzÃ¡lez de Traba father Gonzalo FernÃ¡ndez de Traba,father,Fernando GonzÃ¡lez de Traba [MASK] Gonzalo FernÃ¡ndez de Traba
19373,Aldamar Elder father Peter Percival Elder,father,Aldamar Elder [MASK] Peter Percival Elder
19374,Chuck Driesell father Lefty Driesell,father,Chuck Driesell [MASK] Lefty Driesell
19375,Berenice ( Seleucid queen ) spouse Antiochus II Theos,queen,Berenice ( Seleucid [MASK] ) spouse Antiochus II Theos
19376,Lucien Linden father Jean Jules Linden,father,Lucien Linden [MASK] Jean Jules Linden
19377,"Gustav Victor Rudolf Born occupation Scientist, father Max Born",father,"Gustav Victor Rudolf Born occupation Scientist, [MASK] Max Born"
19378,Karin Smirnov father August Strindberg,father,Karin Smirnov [MASK] August Strindberg
19379,August Strindberg  mother Siri von Essen,mother,August Strindberg  [MASK] Siri von Essen
19380,Isabel Briggs Myers mother Katharine Cook Briggs,mother,Isabel Briggs Myers [MASK] Katharine Cook Briggs
19382,Bianca Riario father Girolamo Riario,father,Bianca Riario [MASK] Girolamo Riario
19383,Girolamo Riario  mother Caterina Sforza,mother,Girolamo Riario  [MASK] Caterina Sforza
19384,Phineas and Ferb Get Busted ! voice actor Clancy Brown,actor,Phineas and Ferb Get Busted ! voice [MASK] Clancy Brown
19385,Clancy Brown  voice actor Geraldo Rivera,actor,Clancy Brown  voice [MASK] Geraldo Rivera
19386,Rowan JoffÃ© mother Jane Lapotaire,mother,Rowan JoffÃ© [MASK] Jane Lapotaire
19387,Iio Tsuratatsu father Iio Noritsura,father,Iio Tsuratatsu [MASK] Iio Noritsura
19388,Alwi Shihab father Abdurrahman Shihab,father,Alwi Shihab [MASK] Abdurrahman Shihab
19390,"Fould family, mother ValÃ©rie Simonin",mother,"Fould family, [MASK] ValÃ©rie Simonin"
19391,Yurii Khmelnytsky father Bohdan Khmelnytsky,father,Yurii Khmelnytsky [MASK] Bohdan Khmelnytsky
19392,Robert Blake ( actor ) Bonnie Lee Bakley,actor,Robert Blake ( [MASK] ) Bonnie Lee Bakley
19393,Gao Changgong father Gao Cheng,father,Gao Changgong [MASK] Gao Cheng
19394,Charlotte Wilhelmina Franziska Brandes father Johann Christian Brandes,father,Charlotte Wilhelmina Franziska Brandes [MASK] Johann Christian Brandes
19395,Ross father Walter Leslie,father,Ross [MASK] Walter Leslie
19396,Li Hong mother Wu Zetian,mother,Li Hong [MASK] Wu Zetian
19397,"Ferrin Barr Jr . occupation professional wrestler, father Sandy Barr",father,"Ferrin Barr Jr . occupation professional wrestler, [MASK] Sandy Barr"
19398,Tom Arnold ( actor ) Roseanne Barr,actor,Tom Arnold ( [MASK] ) Roseanne Barr
19399,Irwin Untermyer father Samuel Untermyer,father,Irwin Untermyer [MASK] Samuel Untermyer
19400,Jan Utzon father JÃ¸rn Utzon,father,Jan Utzon [MASK] JÃ¸rn Utzon
19401,Igor Lebedev ( politician ) father Vladimir Zhirinovsky,father,Igor Lebedev ( politician ) [MASK] Vladimir Zhirinovsky
19402,Charles OberthÃ¼r father FranÃ§ois-Charles OberthÃ¼r,father,Charles OberthÃ¼r [MASK] FranÃ§ois-Charles OberthÃ¼r
19403,"Carle Vernet occupation painter, father Claude Joseph Vernet",father,"Carle Vernet occupation painter, [MASK] Claude Joseph Vernet"
19404,Mary Dickens father Charles Dickens,father,Mary Dickens [MASK] Charles Dickens
19405,Claudius mother Antonia Minor,mother,Claudius [MASK] Antonia Minor
19406,"Tang dynasty, mother Consort Wu",mother,"Tang dynasty, [MASK] Consort Wu"
19407,Bob Hathcock  voice actor Russi Taylor,actor,Bob Hathcock  voice [MASK] Russi Taylor
19408,Russi Taylor  voice actor Christopher Lloyd,actor,Russi Taylor  voice [MASK] Christopher Lloyd
19409,Christopher Lloyd  voice actor Alan Young,actor,Christopher Lloyd  voice [MASK] Alan Young
19410,Steven Vanackere father Leo Vanackere,father,Steven Vanackere [MASK] Leo Vanackere
19411,"Shana Goldberg-Meehan occupation Writer, father Gary David Goldberg",father,"Shana Goldberg-Meehan occupation Writer, [MASK] Gary David Goldberg"
19412,Dian Nissen father George Nissen,father,Dian Nissen [MASK] George Nissen
19413,"Baron Lyndhurst occupation Lawyer, occupation Politician, father John Singleton Copley",father,"Baron Lyndhurst occupation Lawyer, occupation Politician, [MASK] John Singleton Copley"
19414,William Henry Hyett father Henry Cay Adams,father,William Henry Hyett [MASK] Henry Cay Adams
19415,Eteocles noble title king of Thebes,king,Eteocles noble title [MASK] of Thebes
19416,Thebes  position held king of Thebes,king,Thebes  position held [MASK] of Thebes
19417,Thebes  father Oedipus,father,Thebes  [MASK] Oedipus
19419,"Morgan O'Connell occupation Politician, father Daniel O'Connell",father,"Morgan O'Connell occupation Politician, [MASK] Daniel O'Connell"
19421,Marcus Knight ( priest ) position held Dean,priest,Marcus Knight ( [MASK] ) position held Dean
19422,Allie McGuire father Al McGuire,father,Allie McGuire [MASK] Al McGuire
19425,John Carter Cash father Johnny Cash,father,John Carter Cash [MASK] Johnny Cash
19426,Johnny Cash  mother June Carter,mother,Johnny Cash  [MASK] June Carter
19427,Jeconiah father Jehoiakim,father,Jeconiah [MASK] Jehoiakim
19428,Prince David of Kakheti father Teimuraz I,father,Prince David of Kakheti [MASK] Teimuraz I
19429,Dan DeVos father Richard DeVos,father,Dan DeVos [MASK] Richard DeVos
19430,Charles Alderson Janeway father Theodore Caldwell Janeway,father,Charles Alderson Janeway [MASK] Theodore Caldwell Janeway
19431,Maureen Murphy ( comedian ) mother Gladys Florence,mother,Maureen Murphy ( comedian ) [MASK] Gladys Florence
19432,Rosanna Davison father Chris de Burgh,father,Rosanna Davison [MASK] Chris de Burgh
19433,Alypia ( daughter of Anthemius,daughter,Alypia ( [MASK] of Anthemius
19435,Ron Clements  voice actor Dwayne Johnson,actor,Ron Clements  voice [MASK] Dwayne Johnson
19436,Dwayne Johnson  voice actor Nicole Scherzinger,actor,Dwayne Johnson  voice [MASK] Nicole Scherzinger
19437,Nicole Scherzinger  voice actor Alan Tudyk,actor,Nicole Scherzinger  voice [MASK] Alan Tudyk
19438,Alan Tudyk  voice actor Jemaine Clement,actor,Alan Tudyk  voice [MASK] Jemaine Clement
19439,Jemaine Clement  voice actor Temuera Morrison,actor,Jemaine Clement  voice [MASK] Temuera Morrison
19440,Edward Cooper ( actor ) spouse Ethel Griffies,actor,Edward Cooper ( [MASK] ) spouse Ethel Griffies
19441,John Hopkins ( poet ) father Ezekiel Hopkins,father,John Hopkins ( poet ) [MASK] Ezekiel Hopkins
19442,Oeyo mother Oichi,mother,Oeyo [MASK] Oichi
19443,Guy II de Balliol father Bernard I de Balliol,father,Guy II de Balliol [MASK] Bernard I de Balliol
19445,Charles Chaplin Jr . father Charlie Chaplin,father,Charles Chaplin Jr . [MASK] Charlie Chaplin
19446,Charlie Chaplin  mother Lita Grey,mother,Charlie Chaplin  [MASK] Lita Grey
19449,John Beal ( actor ) character role Major John Wesley,actor,John Beal ( [MASK] ) character role Major John Wesley
19450,Heinrich von Ficker father Julius von Ficker,father,Heinrich von Ficker [MASK] Julius von Ficker
19451,Kirk Thornton  voice actor Cam Clarke,actor,Kirk Thornton  voice [MASK] Cam Clarke
19452,Cam Clarke  voice actor Cindy Robinson,actor,Cam Clarke  voice [MASK] Cindy Robinson
19453,"John Rubinstein occupation Composer, occupation television actor, father Arthur Rubinstein",father,"John Rubinstein occupation Composer, occupation television actor, [MASK] Arthur Rubinstein"
19454,"Frank Belfrage occupation Diplomat, father Kurt-Allan Belfrage",father,"Frank Belfrage occupation Diplomat, [MASK] Kurt-Allan Belfrage"
19455,Erik the Red father Thorvald Asvaldsson,father,Erik the Red [MASK] Thorvald Asvaldsson
19456,Elen ferch Llywelyn ( the Elder ) father Llywelyn,father,Elen ferch Llywelyn ( the Elder ) [MASK] Llywelyn
19457,Gianni Lancia father Vincenzo Lancia,father,Gianni Lancia [MASK] Vincenzo Lancia
19458,Lucius Junius Brutus father Marcus Junius Brutus,father,Lucius Junius Brutus [MASK] Marcus Junius Brutus
19459,Pandava father Pandu,father,Pandava [MASK] Pandu
19460,Emil Bohinen father Lars Bohinen,father,Emil Bohinen [MASK] Lars Bohinen
19461,Karl Friedrich Knorre father Ernst Friedrich Knorre,father,Karl Friedrich Knorre [MASK] Ernst Friedrich Knorre
19462,Caecilia Metella ( daughter of Metellus Celer,daughter,Caecilia Metella ( [MASK] of Metellus Celer
19463,Robert Mackay ( businessman ) family name MacKay,businessman,Robert Mackay ( [MASK] ) family name MacKay
19465,Anthony Corleone father Michael Corleone,father,Anthony Corleone [MASK] Michael Corleone
19466,Sebastian Armesto father Felipe FernÃ¡ndez-Armesto,father,Sebastian Armesto [MASK] Felipe FernÃ¡ndez-Armesto
19467,Daniele Battaglia father Dodi Battaglia,father,Daniele Battaglia [MASK] Dodi Battaglia
19468,Henri Meunier father Jean Baptiste Meunier,father,Henri Meunier [MASK] Jean Baptiste Meunier
19469,Jean-Baptiste Charcot father Jean-Martin Charcot,father,Jean-Baptiste Charcot [MASK] Jean-Martin Charcot
19470,Al-Kamil Sha'ban father An-Nasir Muhammad,father,Al-Kamil Sha'ban [MASK] An-Nasir Muhammad
19471,Duke of Guelders mother Catharine of Bourbon,mother,Duke of Guelders [MASK] Catharine of Bourbon
19472,Sima You father Sima Zhao,father,Sima You [MASK] Sima Zhao
19473,"Pratapsinh Jadhav occupation Journalist, father Ganpatrao Jadhav",father,"Pratapsinh Jadhav occupation Journalist, [MASK] Ganpatrao Jadhav"
19474,Erik Krag father Thomas Krag,father,Erik Krag [MASK] Thomas Krag
19476,Giordano Pierleoni father Pier Leoni,father,Giordano Pierleoni [MASK] Pier Leoni
19477,Bobby Ewing mother Miss Ellie Ewing,mother,Bobby Ewing [MASK] Miss Ellie Ewing
19478,Steinar Pedersen father Erik Ruthford Pedersen,father,Steinar Pedersen [MASK] Erik Ruthford Pedersen
19479,Osorkon III father Takelot II,father,Osorkon III [MASK] Takelot II
19480,Takelot II  mother Karomama II,mother,Takelot II  [MASK] Karomama II
19481,Gelechia sabinellus host Juniper,host,Gelechia sabinellus [MASK] Juniper
19482,Mirza Muhammad Hakim mother Mah Chuchak Begum,mother,Mirza Muhammad Hakim [MASK] Mah Chuchak Begum
19483,Caligula father Germanicus,father,Caligula [MASK] Germanicus
19484,Agnes Flight father Sunday Silence,father,Agnes Flight [MASK] Sunday Silence
19485,Sunday Silence  mother Agnes Flora,mother,Sunday Silence  [MASK] Agnes Flora
19486,Charlotte Bonaparte father Joseph Bonaparte,father,Charlotte Bonaparte [MASK] Joseph Bonaparte
19487,Joseph Bonaparte  mother Julie Clary,mother,Joseph Bonaparte  [MASK] Julie Clary
19488,Tawt I Taw a Puddy Tat voice actor June Foray,actor,Tawt I Taw a Puddy Tat voice [MASK] June Foray
19489,StanisÅaw RadziwiÅÅ  mother ElÅ¼bieta SzydÅowiecka,mother,StanisÅaw RadziwiÅÅ  [MASK] ElÅ¼bieta SzydÅowiecka
19490,Nawrahta Minsaw position held king of Lan Na,king,Nawrahta Minsaw position held [MASK] of Lan Na
19492,Toni Rose Gayda mother Rosa Rosal,mother,Toni Rose Gayda [MASK] Rosa Rosal
19493,"Henry Dixon ( priest ) occupation Priest, place of birth Millom",priest,"Henry Dixon ( [MASK] ) occupation Priest, place of birth Millom"
19494,Ballala Sena father Vijaya Sena,father,Ballala Sena [MASK] Vijaya Sena
19495,Granier de Cassagnac father Adolphe Granier de Cassagnac,father,Granier de Cassagnac [MASK] Adolphe Granier de Cassagnac
19496,Rabbi  father Ya'akov Yosef,father,Rabbi  [MASK] Ya'akov Yosef
19497,Roshanara Begum father Shah Jahan,father,Roshanara Begum [MASK] Shah Jahan
19498,"Daniel MÃºgica occupation Writer, father Enrique MÃºgica Herzog",father,"Daniel MÃºgica occupation Writer, [MASK] Enrique MÃºgica Herzog"
19499,"Muhammad ibn al-Hanafiyyah occupation Imam, father Ali",father,"Muhammad ibn al-Hanafiyyah occupation Imam, [MASK] Ali"
19500,Indira Gandhi  mother Indira Gandhi,mother,Indira Gandhi  [MASK] Indira Gandhi
